region,year,capacity
p42,2024,1.0
p43,2024,345.8
p47,2024,710.0
p5,2024,3.0
p50,2024,120.0
p53,2024,8.7
p57,2024,1375.94
p58,2024,708.1
p63,2024,208.34
p66,2024,9460.11
p67,2024,132.41
p68,2024,1.0
p7,2024,14.5
p70,2024,414.1
p72,2024,219.0
p75,2024,661.4
p76,2024,3.1
p79,2024,50.3
p8,2024,21.47
p80,2024,66.26
p81,2024,3.9
p83,2024,569.74
p85,2024,1168.7
p88,2024,890.1
p9,2024,105.68
p90,2024,112.4
p92,2024,176.7
p94,2024,1291.5
p96,2024,202.0
p97,2024,8.0
p98,2024,121.9
p99,2024,671.0
p10,2025,1434.29
p101,2025,894.0
p102,2025,449.1
p103,2025,1212.0
p105,2025,1010.4
p107,2025,1363.1
p109,2025,36.76
p110,2025,579.25
p111,2025,573.0
p112,2025,49.9
p116,2025,62.2
p12,2025,677.8
p122,2025,503.3
p123,2025,514.7
p124,2025,277.0
p125,2025,168.0
p126,2025,15.4
p127,2025,443.3
p128,2025,963.5
p129,2025,22.0
p131,2025,9.7
p132,2025,24.0
p134,2025,121.4
p16,2025,200.0
p25,2025,591.66
p26,2025,8.35
p28,2025,739.86
p29,2025,540.14
p33,2025,396.7
p34,2025,140.0
p38,2025,4.9
p43,2025,251.1
p47,2025,520.0
p5,2025,6.88
p50,2025,100.0
p53,2025,209.0
p57,2025,1010.7
p58,2025,172.5
p63,2025,100.0
p66,2025,6180.7
p7,2025,312.62
p70,2025,31.7
p72,2025,404.9
p75,2025,104.7
p79,2025,1.4
p8,2025,6.7
p80,2025,313.95
p81,2025,4.1
p83,2025,589.45
p85,2025,418.0
p88,2025,104.8
p9,2025,46.6
p90,2025,80.0
p92,2025,191.41
p96,2025,149.6
p97,2025,2.0
p98,2025,185.9
p99,2025,639.0
p10,2026,155.15
p101,2026,596.0
p102,2026,74.9
p103,2026,1198.2
p105,2026,151.9
p107,2026,150.0
p11,2026,143.85
p110,2026,258.5
p111,2026,585.5
p112,2026,100.0
p116,2026,61.5
p122,2026,70.0
p123,2026,55.9
p124,2026,368.1
p127,2026,82.0
p128,2026,240.0
p132,2026,2.0
p134,2026,189.2
p16,2026,124.99
p25,2026,95.0
p28,2026,160.2
p29,2026,752.9
p3,2026,160.0
p34,2026,184.9
p43,2026,250.0
p5,2026,1218.42
p50,2026,247.5
p51,2026,124.7
p53,2026,150.0
p57,2026,1781.1
p58,2026,199.0
p66,2026,3565.0
p7,2026,401.59
p75,2026,200.0
p79,2026,1.4
p8,2026,1.8
p80,2026,4.4
p81,2026,1.1
p83,2026,373.5
p85,2026,135.0
p88,2026,4.8
p9,2026,18.4
p94,2026,500.0
p96,2026,821.9
p98,2026,455.5
p99,2026,452.9
p10,2027,440.0
p103,2027,220.0
p105,2027,175.63
p107,2027,124.37
p72,2027,100.0
