region,year,capacity
p37153,2017,3.8
p37155,2017,14.7
p37159,2017,2.0
p37163,2017,15.0
p37165,2017,4.9
p37169,2017,4.0
p37171,2017,3.9
p37177,2017,96.75
p37179,2017,4.0
p37183,2017,15.0
p37185,2017,5.0
p37187,2017,125.6
p37191,2017,10.0
p37193,2017,1.9
p39013,2017,3.0
p39067,2017,1.9
p39099,2017,20.0
p40079,2017,9.0
p40089,2017,9.0
p41001,2017,14.6
p41045,2017,40.42
p41063,2017,69.28
p45015,2017,8.4
p45019,2017,5.0
p45033,2017,20.0
p45041,2017,3.4
p45043,2017,60.4
p45051,2017,71.4
p45067,2017,40.0
p45069,2017,12.3
p45089,2017,15.4
p47019,2017,16.0
p48037,2017,10.0
p48067,2017,254.4
p48199,2017,15.4
p48203,2017,61.2
p48241,2017,150.0
p48291,2017,3.0
p48315,2017,50.0
p48343,2017,1.1
p48347,2017,1.5
p48365,2017,5.0
p48401,2017,10.5
p48457,2017,105.0
p49047,2017,1.3
p50009,2017,7.2
p50023,2017,1.3
p51036,2017,5.0
p51041,2017,3.0
p51057,2017,20.0
p51095,2017,20.0
p51097,2017,60.0
p51099,2017,2.1
p51101,2017,5.0
p51127,2017,10.0
p51159,2017,20.0
p51175,2017,17.6
p51183,2017,2.5
p51193,2017,19.8
p51810,2017,103.6
p55009,2017,3.0
p55037,2017,1.0
p55075,2017,6.2
p55083,2017,3.1
p55131,2017,2.0
p01081,2018,14.7
p04001,2018,59.3
p04003,2018,1.0
p04011,2018,20.0
p05031,2018,2.0
p05035,2018,1.0
p05093,2018,81.0
p06019,2018,3.0
p06025,2018,289.41
p06027,2018,14.23
p06029,2018,9.5
p06037,2018,6.2
p06051,2018,3.4
p06059,2018,3.0
p06065,2018,282.89
p06071,2018,309.07
p06073,2018,20.0
p06107,2018,5.7
p06111,2018,3.4
p08009,2018,5.5
p08061,2018,1.5
p08063,2018,3.0
p08095,2018,50.0
p08099,2018,4.5
p08115,2018,3.0
